club_name,league,annual_revenue_eur_m,wage_to_revenue,operating_cash_flow_eur_m,debt_to_assets,regulatory_headroom_eur_m,uefa_coefficient_trend,league_position_trend,broadcast_revenue_share,payment_timeliness_score,management_tenure_years,true_pd,defaulted
TSV Mooshausen,Bundesliga,210.9,0.877,-7.0,0.459,10.5,1.33,8.2,0.424,0.243,7.4,0.2304,0
VV Polderkamp,Eredivisie,204.1,0.881,-6.9,0.616,17.9,-3.43,-7.94,0.53,0.455,0.1,0.412,0
Borussia Talheim,Bundesliga,100.2,1.012,39.3,0.669,13.9,6.12,8.56,0.383,0.963,11.8,0.0026,0
FC Walloon Rovers,Belgian Pro League,198.4,0.808,3.5,0.288,17.2,8.6,-0.24,0.314,0.11,11.3,0.0932,0
SC Eichberg,Bundesliga,180.6,0.78,35.0,0.192,26.6,-0.52,7.86,0.242,0.568,3.4,0.0026,0
Union Kempen,Belgian Pro League,44.0,1.032,25.3,0.441,35.2,-2.24,2.43,0.251,0.341,6.7,0.0216,0
SK Meerhout,Belgian Pro League,92.2,0.783,0.0,0.319,7.9,2.32,3.43,0.68,0.646,9.2,0.0063,0
FC Maasdijk,Eredivisie,145.0,0.944,28.6,0.442,14.0,2.55,5.46,0.594,0.649,11.0,0.044,0
SC Lindehoven,Eredivisie,187.4,0.53,8.2,0.791,-2.3,-2.24,-8.66,0.322,0.241,7.0,0.1936,1
SV Rheinfelden,Bundesliga,128.0,0.531,55.6,0.314,49.1,7.73,2.56,0.465,0.786,0.2,0.0001,0
FC Walloon Rovers,Belgian Pro League,92.4,0.821,44.8,0.423,6.9,-3.01,8.48,0.557,0.091,8.2,0.1862,1
Sparta Veenendaal,Eredivisie,86.7,0.587,0.0,0.686,12.1,-1.41,9.12,0.376,0.818,1.1,0.002,0
SC Lindehoven,Eredivisie,171.3,1.018,28.5,0.499,42.4,3.16,9.37,0.42,0.212,8.1,0.0188,0
KVC Houtland,Belgian Pro League,104.2,0.544,18.5,0.24,32.2,14.61,2.92,0.559,0.59,7.0,0.0003,0
Sparta Veenendaal,Eredivisie,209.0,0.866,66.2,0.255,-5.4,-7.18,2.67,0.314,0.347,7.7,0.1168,0
SV Rheinfelden,Bundesliga,197.8,0.624,21.3,0.757,10.6,-8.04,1.05,0.463,0.61,2.3,0.046,0
SK Meerhout,Belgian Pro League,177.4,1.01,31.8,0.236,4.0,-9.69,2.15,0.305,0.267,5.9,0.424,1
FC Maasdijk,Eredivisie,157.6,0.715,57.7,0.588,51.0,5.68,2.24,0.202,0.569,7.4,0.0003,0
Sparta Veenendaal,Eredivisie,149.6,0.534,-2.2,0.693,23.3,-1.53,-9.15,0.545,0.008,3.6,0.6897,1
Royal Ardennes FC,Belgian Pro League,197.3,0.512,33.3,0.329,11.9,-3.34,-8.22,0.554,0.374,2.2,0.0117,0
AFC Kanaalstad,Eredivisie,104.0,0.829,-12.0,0.676,22.5,-8.88,2.39,0.698,0.826,2.7,0.1107,0
Royal Ardennes FC,Belgian Pro League,253.1,0.985,45.0,0.236,7.8,11.73,-3.72,0.291,0.463,10.3,0.0538,0
VfL Donaustein,Bundesliga,235.7,0.989,23.6,0.319,-13.3,-1.7,-3.97,0.57,0.499,5.6,0.7348,0
RKC Zandvoort-Noord,Eredivisie,28.2,0.752,45.5,0.455,42.4,3.23,-6.13,0.674,0.622,7.9,0.0022,0
FC Nordhafen,Bundesliga,74.1,0.806,8.4,0.867,-10.0,-11.62,6.02,0.522,0.434,6.2,0.5719,0
Olympia Dollard,Eredivisie,140.7,0.576,-5.3,0.328,50.0,-11.76,9.29,0.682,0.867,10.0,0.0005,0
FC Walloon Rovers,Belgian Pro League,191.1,0.772,54.4,0.245,37.6,-12.98,2.56,0.697,0.403,6.1,0.0168,0
FC Waldkirchen,Bundesliga,72.3,0.868,39.4,0.823,-8.3,-3.98,8.91,0.601,0.943,1.1,0.0214,0
Royal Ardennes FC,Belgian Pro League,185.4,0.634,43.0,0.269,37.8,-0.81,7.68,0.7,0.877,2.4,0.0001,0
FC Hertenbos,Eredivisie,93.6,0.864,36.3,0.781,33.5,-7.66,-5.64,0.513,0.421,0.2,0.2639,0
KAS Dendermonde-West,Belgian Pro League,143.7,0.99,5.0,0.606,19.5,-4.51,-6.93,0.449,0.366,10.0,0.272,0
FC Hertenbos,Eredivisie,134.3,0.527,32.9,0.564,32.3,-14.81,-5.77,0.659,0.677,8.0,0.0015,0
SC Eichberg,Bundesliga,84.3,0.669,-19.5,0.704,-3.8,-4.47,-8.08,0.615,0.755,9.1,0.1154,0
RFC Lysveld,Belgian Pro League,149.5,0.629,0.4,0.651,-1.9,-11.42,1.66,0.255,0.186,8.6,0.2152,1
FC Walloon Rovers,Belgian Pro League,101.1,0.607,51.3,0.284,38.8,-11.15,-4.35,0.351,0.241,9.9,0.0029,0
SK Meerhout,Belgian Pro League,70.6,0.643,32.9,0.871,0.4,-14.86,8.26,0.33,0.146,11.8,0.1135,0
KV Scheldebrug,Belgian Pro League,35.7,0.898,-10.4,0.854,0.7,5.89,2.27,0.628,0.761,7.8,0.4264,1
KV Scheldebrug,Belgian Pro League,168.9,0.564,-3.9,0.749,26.4,12.94,-2.81,0.317,0.714,3.0,0.0058,0
FC Waldkirchen,Bundesliga,138.7,0.909,57.1,0.59,-4.3,3.65,9.69,0.352,0.189,1.2,0.4742,0
KV Scheldebrug,Belgian Pro League,143.3,0.984,-6.8,0.524,31.0,-12.11,9.06,0.459,0.537,7.1,0.0911,0
VfL Donaustein,Bundesliga,69.7,1.039,-4.4,0.575,30.3,14.69,5.57,0.238,0.764,9.2,0.0181,0
SC Eichberg,Bundesliga,117.1,0.878,-4.5,0.214,37.4,14.27,5.83,0.681,0.947,6.7,0.0001,0
Olympia Dollard,Eredivisie,140.5,0.627,-15.2,0.511,-2.5,-0.95,9.55,0.446,0.179,3.6,0.0546,0
SV Rheinfelden,Bundesliga,96.7,0.589,3.2,0.615,21.4,-11.76,2.01,0.295,0.304,8.6,0.0531,0
FC Maasdijk,Eredivisie,220.7,0.607,68.7,0.567,46.0,6.62,7.6,0.335,0.348,5.4,0.0018,0
Royal Ardennes FC,Belgian Pro League,162.5,1.014,13.1,0.391,4.4,13.84,-8.7,0.599,0.625,3.4,0.1235,0
AFC Kanaalstad,Eredivisie,124.0,1.032,21.1,0.502,23.8,8.36,1.08,0.517,0.136,10.1,0.3042,1
FC Maasdijk,Eredivisie,147.9,0.719,42.5,0.594,27.1,3.73,0.05,0.432,0.193,6.9,0.0109,0
Olympia Dollard,Eredivisie,202.5,0.665,33.9,0.43,14.2,3.32,-9.25,0.366,0.78,3.4,0.0014,0
VV Polderkamp,Eredivisie,215.8,0.754,50.3,0.764,7.2,14.34,-8.26,0.65,0.542,3.9,0.0275,0
Royal Ardennes FC,Belgian Pro League,205.4,0.646,42.8,0.606,33.1,-12.81,-9.56,0.586,0.16,6.9,0.0665,0
VV Polderkamp,Eredivisie,64.9,1.069,22.2,0.235,-11.0,-10.51,-4.12,0.559,0.388,5.1,0.6632,1
TSV Mooshausen,Bundesliga,76.5,0.669,26.7,0.243,44.9,9.92,-8.93,0.423,0.134,1.9,0.0065,0
Royal Ardennes FC,Belgian Pro League,63.2,0.752,36.6,0.677,25.3,-10.65,-1.54,0.691,0.363,7.3,0.0209,0
FC Nordhafen,Bundesliga,162.2,0.737,41.4,0.443,-2.1,-3.5,6.25,0.555,0.4,8.3,0.0247,0
FC Nordhafen,Bundesliga,195.5,0.564,51.6,0.697,38.7,-6.56,2.28,0.412,0.112,0.0,0.038,0
SV Rheinfelden,Bundesliga,104.9,0.74,-8.8,0.322,17.0,-7.7,3.48,0.68,0.06,6.4,0.231,0
TSV Mooshausen,Bundesliga,103.5,0.987,32.0,0.221,-4.3,-14.23,-9.37,0.648,0.882,6.9,0.0573,0
SK Meerhout,Belgian Pro League,100.8,0.615,36.3,0.462,52.6,1.99,6.79,0.57,0.888,4.0,0.0002,0
Borussia Talheim,Bundesliga,67.7,0.862,-1.3,0.704,30.5,-2.96,-7.08,0.583,0.003,4.1,0.8943,1
KV Scheldebrug,Belgian Pro League,245.4,0.687,63.9,0.753,28.3,1.55,-3.95,0.412,0.641,3.8,0.0017,0
RFC Lysveld,Belgian Pro League,114.8,0.625,4.6,0.771,45.6,-5.86,0.34,0.454,0.094,5.3,0.1886,0
RKC Zandvoort-Noord,Eredivisie,184.1,0.51,8.1,0.476,30.8,13.24,8.6,0.296,0.81,9.7,0.0001,0
FC Maasdijk,Eredivisie,243.9,0.618,63.1,0.652,21.3,2.74,9.96,0.498,0.88,5.6,0.0001,0
Borussia Talheim,Bundesliga,226.2,0.516,13.3,0.187,9.3,13.84,5.65,0.385,0.617,11.9,0.0003,0
FC Waldkirchen,Bundesliga,64.7,0.755,7.3,0.601,-0.2,-4.5,4.59,0.374,0.613,4.5,0.0772,0
VV Polderkamp,Eredivisie,120.3,0.955,10.1,0.794,10.4,-14.93,0.55,0.674,0.371,8.4,0.771,1
SK Meerhout,Belgian Pro League,148.5,0.895,54.3,0.44,13.7,8.44,3.31,0.282,0.249,6.6,0.0458,0
FC Nordhafen,Bundesliga,209.1,0.985,27.3,0.766,27.5,9.82,-7.11,0.615,0.499,9.1,0.0703,0
SpVgg Lindenau,Bundesliga,135.1,0.749,37.0,0.335,17.3,-13.24,-4.62,0.341,0.134,10.7,0.0956,0
Royal Ardennes FC,Belgian Pro League,80.8,0.92,38.3,0.293,21.1,3.76,9.69,0.214,0.672,6.1,0.0011,0
TSV Mooshausen,Bundesliga,114.6,0.882,29.5,0.542,36.7,4.83,9.59,0.22,0.47,5.9,0.0066,0
SC Eichberg,Bundesliga,27.8,0.689,43.6,0.836,52.2,-10.63,-3.54,0.415,0.178,11.3,0.1294,1
RKC Zandvoort-Noord,Eredivisie,154.5,0.675,47.6,0.382,12.4,1.58,-5.18,0.427,0.588,11.2,0.0015,0
Royal Ardennes FC,Belgian Pro League,175.6,0.783,19.2,0.683,43.9,-7.7,-5.41,0.36,0.795,12.0,0.0175,0
FC Walloon Rovers,Belgian Pro League,124.4,0.946,55.5,0.309,33.1,-14.51,-0.3,0.534,0.589,1.9,0.0216,0
KAS Dendermonde-West,Belgian Pro League,193.0,0.74,30.8,0.638,-4.8,11.01,-5.52,0.443,0.53,0.0,0.0369,0
FC Waldkirchen,Bundesliga,85.0,0.668,-20.6,0.579,13.3,-0.25,2.97,0.237,0.848,5.2,0.0033,0
SC Lindehoven,Eredivisie,178.3,1.023,8.7,0.282,-4.5,8.45,-8.5,0.374,0.011,8.8,0.9583,1
Union Kempen,Belgian Pro League,110.8,0.598,28.6,0.668,35.3,6.69,-7.93,0.251,0.617,0.9,0.0058,0
VfL Donaustein,Bundesliga,95.3,1.042,-9.1,0.674,15.1,14.81,-4.46,0.231,0.41,4.5,0.5187,1
SK Meerhout,Belgian Pro League,91.1,0.968,23.4,0.549,13.8,-1.86,5.55,0.304,0.194,7.0,0.2642,0
Olympia Dollard,Eredivisie,172.0,0.946,15.8,0.317,30.6,-2.17,-3.53,0.55,0.98,2.6,0.004,0
KAS Dendermonde-West,Belgian Pro League,138.4,0.938,25.1,0.277,5.0,-6.55,-0.58,0.548,0.404,8.8,0.132,0
KAS Dendermonde-West,Belgian Pro League,126.7,0.639,-17.3,0.812,17.2,3.75,3.13,0.631,0.335,2.8,0.4058,0
AFC Kanaalstad,Eredivisie,165.9,0.841,52.5,0.596,39.9,-0.42,5.77,0.578,0.169,10.1,0.0476,0
VfL Donaustein,Bundesliga,113.8,0.93,8.9,0.724,43.6,6.86,-3.86,0.468,0.998,4.2,0.0024,0
Borussia Talheim,Bundesliga,126.4,0.918,-6.7,0.645,32.2,-4.3,4.62,0.356,0.856,7.2,0.0192,0
SpVgg Lindenau,Bundesliga,215.7,0.63,26.8,0.679,7.5,-11.07,-4.28,0.203,0.07,6.5,0.1917,1
FC Hertenbos,Eredivisie,71.6,0.65,13.5,0.334,0.6,10.87,2.89,0.524,0.566,3.6,0.0028,0
FC Maasdijk,Eredivisie,81.2,0.722,26.3,0.543,4.2,9.84,-0.98,0.345,0.147,5.3,0.1496,0
FC Hertenbos,Eredivisie,213.9,0.739,33.2,0.576,16.5,-4.47,8.53,0.325,0.716,10.2,0.0006,0
SC Eichberg,Bundesliga,186.7,0.801,-7.0,0.231,3.4,5.71,9.64,0.687,0.484,6.6,0.003,0
FC Hertenbos,Eredivisie,105.7,0.975,47.2,0.307,37.9,-0.23,5.48,0.287,0.11,0.7,0.0579,0
Borussia Talheim,Bundesliga,94.5,0.945,13.9,0.623,25.0,7.83,8.31,0.216,0.557,8.6,0.0144,0
FC Waldkirchen,Bundesliga,93.1,0.898,-15.5,0.774,11.2,-3.3,-7.27,0.675,0.911,2.2,0.2254,0
KV Scheldebrug,Belgian Pro League,191.4,0.637,49.7,0.585,10.7,1.07,3.09,0.353,0.341,5.8,0.0026,0
FC Waldkirchen,Bundesliga,109.0,0.788,31.3,0.232,12.4,-13.27,-6.03,0.397,0.051,5.6,0.4754,1
VV Polderkamp,Eredivisie,83.5,0.725,27.5,0.845,20.1,-9.75,-4.46,0.24,0.945,5.8,0.0062,0
SpVgg Lindenau,Bundesliga,191.0,0.623,23.0,0.252,37.5,8.45,0.46,0.402,0.142,0.4,0.0094,0
RKC Zandvoort-Noord,Eredivisie,64.5,0.565,6.8,0.383,1.8,-3.55,4.84,0.686,0.475,3.3,0.0375,0
Olympia Dollard,Eredivisie,117.6,0.711,22.8,0.828,42.9,-13.95,4.43,0.547,0.545,0.6,0.0512,0
KV Scheldebrug,Belgian Pro League,207.3,0.626,-4.0,0.646,2.2,-9.97,7.39,0.437,0.237,5.0,0.3836,1
FC Hertenbos,Eredivisie,159.2,0.813,9.4,0.78,4.6,-2.65,1.19,0.354,0.177,7.5,0.3955,0
SC Lindehoven,Eredivisie,268.3,0.497,75.3,0.634,58.2,6.54,8.53,0.383,0.113,7.8,0.0005,0
SV Rheinfelden,Bundesliga,120.1,0.674,32.8,0.62,4.5,-4.1,7.76,0.506,0.07,0.8,0.2075,0
FC Waldkirchen,Bundesliga,121.7,0.556,14.2,0.384,2.8,7.36,6.98,0.327,0.508,1.4,0.0029,0
KV Scheldebrug,Belgian Pro League,108.1,0.873,-2.5,0.419,25.3,10.74,-5.41,0.276,0.842,7.9,0.0069,0
Royal Ardennes FC,Belgian Pro League,160.7,0.81,44.0,0.786,12.5,-4.77,0.63,0.548,0.127,6.4,0.1242,0
AFC Kanaalstad,Eredivisie,138.4,0.701,4.0,0.743,-2.2,9.01,4.72,0.635,0.701,10.0,0.0287,0
SK Meerhout,Belgian Pro League,159.1,0.592,-1.1,0.411,-4.1,-11.19,9.52,0.651,0.413,2.5,0.0494,0
Royal Ardennes FC,Belgian Pro League,83.8,1.049,-10.6,0.462,-13.7,-2.54,-9.77,0.621,0.035,1.4,0.998,1
Sparta Veenendaal,Eredivisie,169.7,0.814,43.8,0.365,20.2,-12.07,-3.46,0.465,0.536,4.3,0.0154,1
SV Rheinfelden,Bundesliga,178.6,0.86,38.2,0.378,1.3,-13.42,-3.15,0.594,0.252,7.6,0.3815,0
SK Meerhout,Belgian Pro League,139.1,0.801,-10.6,0.743,35.9,-13.06,-4.23,0.663,0.605,5.8,0.1329,0
VfL Donaustein,Bundesliga,93.5,0.965,-12.5,0.225,35.6,-11.86,6.35,0.212,0.349,1.2,0.0268,0
SV Rheinfelden,Bundesliga,220.6,0.953,42.4,0.424,-6.8,10.07,-9.1,0.406,0.666,0.9,0.0743,0
SK Meerhout,Belgian Pro League,187.8,0.701,33.7,0.768,12.5,1.31,-2.81,0.302,0.919,8.1,0.001,0
SpVgg Lindenau,Bundesliga,163.5,0.872,39.7,0.525,-4.2,13.42,4.23,0.698,0.245,3.6,0.1988,0
SC Eichberg,Bundesliga,59.4,0.681,-11.6,0.526,10.1,1.14,-1.87,0.665,0.94,8.0,0.0033,0
AFC Kanaalstad,Eredivisie,142.9,0.862,40.4,0.39,1.7,3.86,-7.12,0.601,0.204,3.5,0.245,1
SpVgg Lindenau,Bundesliga,162.2,0.722,58.8,0.226,38.9,-9.47,2.22,0.348,0.071,3.8,0.0075,1
Sparta Veenendaal,Eredivisie,95.9,0.548,25.2,0.36,17.7,1.22,0.45,0.676,0.193,2.5,0.0695,0
FC Walloon Rovers,Belgian Pro League,95.0,1.042,-6.1,0.275,11.5,-3.44,9.64,0.215,0.815,11.8,0.0052,0
Sparta Veenendaal,Eredivisie,182.7,0.956,41.5,0.248,24.9,12.94,4.97,0.294,0.678,0.2,0.0034,0
AFC Kanaalstad,Eredivisie,137.3,0.677,10.2,0.298,42.4,13.02,9.72,0.508,0.971,1.5,0.0,0
FC Waldkirchen,Bundesliga,89.7,1.066,-18.0,0.413,-0.9,-9.05,-6.27,0.597,0.71,10.0,0.7425,1
SV Rheinfelden,Bundesliga,118.5,0.699,4.9,0.211,4.9,3.6,5.23,0.642,0.413,1.7,0.0119,0
SV Rheinfelden,Bundesliga,57.4,0.801,44.1,0.847,47.9,4.15,1.03,0.35,0.892,3.4,0.0005,0
FC Walloon Rovers,Belgian Pro League,137.6,0.968,15.5,0.272,3.3,1.88,4.25,0.395,0.958,3.2,0.0054,0
FC Hertenbos,Eredivisie,264.5,0.625,65.4,0.366,34.9,-11.27,-0.65,0.427,0.792,8.4,0.0005,0
KAS Dendermonde-West,Belgian Pro League,143.5,0.757,23.7,0.752,31.2,4.62,-5.75,0.213,0.557,4.9,0.0027,0
VV Polderkamp,Eredivisie,161.5,0.86,26.5,0.247,18.2,8.97,-9.09,0.632,0.826,10.1,0.0017,0
FC Nordhafen,Bundesliga,126.1,0.599,-17.1,0.509,9.1,-4.64,6.77,0.369,0.179,9.0,0.061,0
VV Polderkamp,Eredivisie,78.1,0.773,25.9,0.767,-1.4,0.44,6.3,0.3,0.9,6.4,0.0051,0
RKC Zandvoort-Noord,Eredivisie,122.9,0.693,-9.6,0.558,21.7,-11.51,-6.75,0.405,1.0,3.0,0.0298,0
VV Polderkamp,Eredivisie,120.0,0.885,18.7,0.337,17.3,12.92,2.9,0.555,0.665,9.5,0.0035,0
Olympia Dollard,Eredivisie,206.7,0.564,12.0,0.624,42.9,-11.71,4.75,0.635,0.196,10.4,0.0647,0
Borussia Talheim,Bundesliga,95.5,0.666,9.1,0.653,35.9,-8.75,1.15,0.308,0.144,10.0,0.1822,1
KAS Dendermonde-West,Belgian Pro League,190.1,0.871,31.4,0.395,41.8,-6.05,-3.66,0.286,0.959,0.6,0.0015,0
SK Meerhout,Belgian Pro League,92.4,0.628,-20.4,0.248,52.8,9.77,7.62,0.672,0.871,8.4,0.0001,0
KV Scheldebrug,Belgian Pro League,163.9,0.733,8.9,0.183,35.0,6.02,2.85,0.475,0.749,8.4,0.0001,0
Borussia Talheim,Bundesliga,62.8,0.931,51.2,0.764,-10.2,-14.79,4.4,0.383,0.949,11.3,0.0317,0
FC Hertenbos,Eredivisie,163.9,0.911,-8.6,0.384,10.1,-9.49,3.04,0.3,0.503,3.2,0.2724,1
Olympia Dollard,Eredivisie,97.8,0.593,3.8,0.304,32.1,7.5,4.43,0.698,0.888,9.4,0.0002,0
VV Polderkamp,Eredivisie,48.9,1.01,-1.8,0.575,18.2,-2.88,-7.1,0.56,0.163,8.3,0.917,0
SpVgg Lindenau,Bundesliga,83.6,0.927,6.7,0.813,-3.8,-14.21,8.45,0.309,0.183,10.5,0.9679,1
SK Meerhout,Belgian Pro League,150.4,0.696,38.1,0.191,27.4,13.92,-4.28,0.246,0.512,8.3,0.0012,0
VfL Donaustein,Bundesliga,144.6,0.919,3.8,0.225,6.5,-10.46,6.73,0.3,0.333,10.2,0.0339,0
VfL Donaustein,Bundesliga,49.1,0.945,8.9,0.51,5.1,0.31,7.87,0.324,0.433,4.3,0.1747,0
SV Rheinfelden,Bundesliga,155.4,0.83,35.6,0.615,38.4,-7.55,3.02,0.256,0.798,1.9,0.005,0
KVC Houtland,Belgian Pro League,119.2,0.824,6.5,0.508,13.8,7.12,1.97,0.315,0.053,4.4,0.2476,0
Union Kempen,Belgian Pro League,86.2,0.931,50.9,0.797,16.8,8.3,-7.82,0.258,0.721,9.8,0.0278,0
FC Waldkirchen,Bundesliga,93.5,1.066,54.1,0.246,14.8,-3.08,-1.28,0.389,0.088,1.6,0.5252,1
SK Meerhout,Belgian Pro League,148.5,0.821,-5.6,0.404,22.4,4.75,2.23,0.443,0.848,7.7,0.0029,0
SV Rheinfelden,Bundesliga,119.5,0.954,8.2,0.428,-2.7,12.27,-8.36,0.428,0.202,11.9,0.486,0
FC Maasdijk,Eredivisie,87.5,0.936,-6.0,0.439,21.0,9.44,-7.77,0.615,0.735,10.7,0.0296,0
FC Hertenbos,Eredivisie,104.0,0.986,-5.7,0.524,3.6,-2.55,9.87,0.327,0.592,8.1,0.1619,1
KAS Dendermonde-West,Belgian Pro League,86.6,1.045,15.7,0.728,21.0,-1.76,-3.36,0.644,0.386,9.5,0.3363,1
Borussia Talheim,Bundesliga,100.4,0.643,22.9,0.418,2.8,11.61,-3.01,0.654,0.268,1.4,0.0345,1
KAS Dendermonde-West,Belgian Pro League,54.9,0.65,6.9,0.717,53.5,-13.97,-4.97,0.68,0.057,6.0,0.2038,0
Olympia Dollard,Eredivisie,47.8,0.872,-5.7,0.338,33.3,-14.32,2.92,0.29,0.353,6.4,0.0298,0
Borussia Talheim,Bundesliga,89.0,0.782,-0.4,0.579,14.8,-8.83,-0.54,0.323,0.201,9.4,0.1749,1
SC Lindehoven,Eredivisie,171.3,0.807,64.2,0.414,7.1,9.83,5.81,0.512,0.136,3.4,0.0787,0
SK Meerhout,Belgian Pro League,126.3,0.946,53.7,0.544,8.0,-10.4,0.25,0.27,0.738,1.3,0.0554,0
Olympia Dollard,Eredivisie,154.1,1.002,-8.4,0.252,26.3,-6.44,-9.69,0.243,0.213,8.4,0.2988,0
FC Maasdijk,Eredivisie,122.8,0.749,32.7,0.811,30.1,3.87,-0.35,0.237,0.223,5.9,0.0228,0
RKC Zandvoort-Noord,Eredivisie,146.6,0.895,20.1,0.768,28.4,-9.47,-8.9,0.503,0.34,10.1,0.3294,1
SpVgg Lindenau,Bundesliga,88.3,0.651,31.1,0.75,47.2,-5.91,6.54,0.602,0.463,5.8,0.003,0
RFC Lysveld,Belgian Pro League,88.4,0.826,24.0,0.792,15.8,-0.99,-7.73,0.329,0.514,10.2,0.0813,0
FC Walloon Rovers,Belgian Pro League,122.7,0.544,50.6,0.295,37.3,-8.16,-5.66,0.667,0.665,6.1,0.0016,0
RKC Zandvoort-Noord,Eredivisie,206.2,0.756,-2.9,0.476,17.1,14.77,-0.8,0.596,0.589,9.4,0.0169,0
FC Nordhafen,Bundesliga,75.2,0.838,3.4,0.432,26.3,-10.1,-6.1,0.239,0.482,8.6,0.0501,0
Borussia Talheim,Bundesliga,96.4,0.927,54.9,0.784,13.8,10.5,0.78,0.404,0.394,3.2,0.1261,1
Royal Ardennes FC,Belgian Pro League,101.0,0.88,-6.4,0.335,33.4,-0.9,-0.79,0.234,0.266,3.7,0.0597,0
KV Scheldebrug,Belgian Pro League,245.8,0.662,6.4,0.272,-6.2,-11.13,9.05,0.658,0.71,10.8,0.0019,0
SC Lindehoven,Eredivisie,133.1,0.53,39.5,0.635,10.5,-11.45,-8.23,0.571,0.318,2.8,0.0884,0
VV Polderkamp,Eredivisie,127.2,0.59,42.5,0.256,13.5,0.01,1.53,0.543,0.85,8.4,0.0004,0
FC Nordhafen,Bundesliga,99.8,1.049,31.2,0.683,38.3,-4.39,4.41,0.541,0.586,1.7,0.0363,0
SC Eichberg,Bundesliga,24.2,1.058,30.3,0.429,11.7,-7.96,-7.45,0.343,0.634,9.1,0.1733,1
Union Kempen,Belgian Pro League,184.7,0.673,42.8,0.589,15.0,13.77,2.73,0.667,0.509,2.7,0.0043,0
KAS Dendermonde-West,Belgian Pro League,59.9,0.696,-14.8,0.796,16.7,-1.1,7.28,0.661,0.929,7.1,0.0046,0
SC Lindehoven,Eredivisie,116.0,0.762,28.2,0.595,17.5,12.86,5.75,0.57,0.422,6.8,0.0159,0
FC Nordhafen,Bundesliga,60.0,0.92,34.5,0.373,37.6,-10.08,8.7,0.434,0.427,2.4,0.0064,0
FC Waldkirchen,Bundesliga,184.9,0.689,56.1,0.197,50.4,-9.5,4.41,0.224,0.893,5.9,0.0001,0
Borussia Talheim,Bundesliga,161.6,0.549,5.6,0.208,47.6,2.88,-2.12,0.214,0.605,10.6,0.0001,0
SC Lindehoven,Eredivisie,48.8,0.776,-16.8,0.3,40.5,-6.9,8.41,0.269,0.449,8.2,0.002,0
KAS Dendermonde-West,Belgian Pro League,80.7,0.687,37.3,0.596,4.6,-9.45,-5.49,0.498,0.262,11.9,0.0545,1
VV Polderkamp,Eredivisie,132.7,0.697,3.0,0.418,8.5,-12.16,1.67,0.599,0.245,9.4,0.1644,1
FC Walloon Rovers,Belgian Pro League,28.8,0.661,-26.5,0.411,29.3,-12.71,5.31,0.674,0.801,7.7,0.0025,0
FC Walloon Rovers,Belgian Pro League,32.9,0.917,35.1,0.393,25.0,7.6,7.45,0.288,0.279,6.8,0.0096,0
RFC Lysveld,Belgian Pro League,104.5,0.815,18.9,0.819,0.9,-6.54,8.33,0.338,0.006,11.2,0.6506,1
FC Maasdijk,Eredivisie,170.7,0.651,12.9,0.25,38.6,14.35,-8.3,0.227,0.019,6.3,0.0129,0
FC Waldkirchen,Bundesliga,108.8,0.827,-18.7,0.404,0.4,-9.51,4.52,0.695,0.978,4.8,0.0262,1
AFC Kanaalstad,Eredivisie,191.7,0.757,-7.0,0.464,6.3,-4.37,-5.92,0.59,0.56,10.0,0.0343,0
FC Nordhafen,Bundesliga,128.8,0.943,43.9,0.198,3.2,-3.75,5.58,0.44,0.489,11.3,0.0286,0
KAS Dendermonde-West,Belgian Pro League,107.9,1.036,18.1,0.799,32.7,0.0,4.01,0.488,0.918,5.7,0.0743,0
SC Eichberg,Bundesliga,181.1,0.573,0.5,0.231,40.1,11.12,-6.37,0.481,0.352,1.6,0.0037,0
AFC Kanaalstad,Eredivisie,67.5,1.018,3.2,0.67,14.4,10.04,6.66,0.327,0.795,7.3,0.0468,0
Olympia Dollard,Eredivisie,163.3,0.88,-0.4,0.581,36.0,-14.7,-0.76,0.293,0.722,8.9,0.0066,0
Sparta Veenendaal,Eredivisie,186.0,0.863,-1.7,0.683,36.1,-2.72,0.88,0.348,0.477,4.5,0.0527,0
TSV Mooshausen,Bundesliga,106.6,0.734,1.5,0.627,14.6,9.84,9.43,0.324,0.775,9.0,0.003,0
SV Rheinfelden,Bundesliga,45.3,0.747,15.3,0.738,37.7,-14.99,3.13,0.479,0.966,6.4,0.0023,0
RFC Lysveld,Belgian Pro League,26.7,0.58,-13.0,0.526,8.4,1.01,1.77,0.354,0.201,3.6,0.1235,0
RKC Zandvoort-Noord,Eredivisie,86.0,1.06,4.2,0.535,11.4,-7.22,-9.66,0.564,0.018,7.6,0.9765,1
Olympia Dollard,Eredivisie,99.4,0.859,16.2,0.664,-5.5,-2.62,-6.02,0.484,0.821,4.7,0.0557,0
RKC Zandvoort-Noord,Eredivisie,118.8,0.743,14.0,0.567,16.6,-2.39,-9.47,0.466,0.404,9.4,0.1292,0
Union Kempen,Belgian Pro League,122.0,0.815,-8.1,0.529,20.0,-3.25,-3.33,0.676,0.544,0.0,0.0876,0
Olympia Dollard,Eredivisie,97.8,0.565,-17.8,0.347,1.3,11.76,-3.11,0.361,0.222,9.8,0.0106,0
KVC Houtland,Belgian Pro League,80.3,0.642,-20.2,0.391,21.8,1.09,0.61,0.518,0.842,3.7,0.0023,0
SpVgg Lindenau,Bundesliga,64.1,0.884,2.2,0.464,25.8,12.11,3.8,0.2,0.721,11.5,0.0057,0
